2025-03-23 21:13:18,479 INFO    MainThread:7176 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-23 21:13:18,480 INFO    MainThread:7176 [wandb_setup.py:_flush():67] Configure stats pid to 7176
2025-03-23 21:13:18,480 INFO    MainThread:7176 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Sai\.config\wandb\settings
2025-03-23 21:13:18,480 INFO    MainThread:7176 [wandb_setup.py:_flush():67] Loading settings from C:\Users\Sai\Documents\Neu\Masters_Project\PerceptionPrivacy\wandb\settings
2025-03-23 21:13:18,480 INFO    MainThread:7176 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-23 21:13:18,480 INFO    MainThread:7176 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\Sai\Documents\Neu\Masters_Project\PerceptionPrivacy\wandb\run-20250323_211318-g9ck6w0v\logs\debug.log
2025-03-23 21:13:18,480 INFO    MainThread:7176 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\Sai\Documents\Neu\Masters_Project\PerceptionPrivacy\wandb\run-20250323_211318-g9ck6w0v\logs\debug-internal.log
2025-03-23 21:13:18,481 INFO    MainThread:7176 [wandb_init.py:init():761] calling init triggers
2025-03-23 21:13:18,481 INFO    MainThread:7176 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'task': 'segment', 'mode': 'train', 'model': 'C:\\Users\\Sai\\Documents\\Neu\\Masters_Project\\PerceptionPrivacy\\checkpoints\\yolov8-seg\\yolov8s-seg.pt', 'data': 'C:\\Users\\Sai\\Documents\\Neu\\Masters_Project\\PerceptionPrivacy\\datasets\\yolo_lp_screen_id\\data.yaml', 'epochs': 100, 'time': None, 'patience': 100, 'batch': 16, 'imgsz': 640, 'save': True, 'save_period': 10, 'cache': False, 'device': 0, 'workers': 8, 'project': 'privacy-segmentation', 'name': 'yolov8s-finetune-balanced5', 'exist_ok': False, 'pretrained': True, 'optimizer': 'auto', 'verbose': True, 'seed': 0, 'deterministic': True, 'single_cls': False, 'rect': False, 'cos_lr': False, 'close_mosaic': 10, 'resume': False, 'amp': True, 'fraction': 1.0, 'profile': False, 'freeze': None, 'multi_scale': False, 'overlap_mask': True, 'mask_ratio': 4, 'dropout': 0.0, 'val': True, 'split': 'val', 'save_json': False, 'save_hybrid': False, 'conf': None, 'iou': 0.7, 'max_det': 300, 'half': False, 'dnn': False, 'plots': True, 'source': None, 'vid_stride': 1, 'stream_buffer': False, 'visualize': False, 'augment': False, 'agnostic_nms': False, 'classes': None, 'retina_masks': False, 'embed': None, 'show': False, 'save_frames': False, 'save_txt': False, 'save_conf': False, 'save_crop': False, 'show_labels': True, 'show_conf': True, 'show_boxes': True, 'line_width': None, 'format': 'torchscript', 'keras': False, 'optimize': False, 'int8': False, 'dynamic': False, 'simplify': True, 'opset': None, 'workspace': None, 'nms': False, 'lr0': 0.01, 'lrf': 0.01, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 7.5, 'cls': 0.5, 'dfl': 1.5, 'pose': 12.0, 'kobj': 1.0, 'nbs': 64, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'bgr': 0.0, 'mosaic': 1.0, 'mixup': 0.0, 'copy_paste': 0.0, 'copy_paste_mode': 'flip', 'auto_augment': 'randaugment', 'erasing': 0.4, 'crop_fraction': 1.0, 'cfg': None, 'tracker': 'botsort.yaml', 'save_dir': 'privacy-segmentation\\yolov8s-finetune-balanced5', '_wandb': {}}
2025-03-23 21:13:18,481 INFO    MainThread:7176 [wandb_init.py:init():784] starting backend
2025-03-23 21:13:18,481 INFO    MainThread:7176 [wandb_init.py:init():788] sending inform_init request
2025-03-23 21:13:18,495 INFO    MainThread:7176 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-23 21:13:18,495 INFO    MainThread:7176 [wandb_init.py:init():798] backend started and connected
2025-03-23 21:13:18,496 INFO    MainThread:7176 [wandb_init.py:init():891] updated telemetry
2025-03-23 21:13:18,720 INFO    MainThread:7176 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-23 21:13:18,903 INFO    MainThread:7176 [wandb_init.py:init():990] starting run threads in backend
2025-03-23 21:13:19,105 INFO    MainThread:7176 [wandb_run.py:_console_start():2375] atexit reg
2025-03-23 21:13:19,105 INFO    MainThread:7176 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-23 21:13:19,105 INFO    MainThread:7176 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-23 21:13:19,105 INFO    MainThread:7176 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-23 21:13:19,107 INFO    MainThread:7176 [wandb_init.py:init():1032] run started, returning control to user process
